year,Argentina,Australia,Austria,Barbados,Belgium,Bolivia (Plurinational State of),Botswana,Brazil,Burkina Faso,Cameroon,Canada,Chad,Chile,China,"China, Hong Kong SAR",Colombia,Costa Rica,Cyprus,Côte d'Ivoire,Denmark,Dominican Republic,Ecuador,Egypt,Finland,France,Gabon,Germany,Greece,Guatemala,Iceland,India,Indonesia,Iran (Islamic Republic of),Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Luxembourg,Malaysia,Malta,Mauritius,Mexico,Morocco,Mozambique,Namibia,Netherlands,New Zealand,Niger,Nigeria,Norway,Paraguay,Peru,Philippines,Portugal,Republic of Korea,Romania,Rwanda,Senegal,Singapore,South Africa,Spain,Sri Lanka,Sweden,Switzerland,Taiwan,Thailand,Trinidad and Tobago,Tunisia,Turkey,U.R. of Tanzania: Mainland,United Kingdom,United States,Uruguay,Venezuela (Bolivarian Republic of),Zambia,Zimbabwe
1960-01-01,13550.964569396194,157783.35851539558,49957.2208854734,22351.412178129296,135606.390155305,9459.668665752786,4070.790295452859,17123.05261182033,903.1244161576172,4559.050701127704,125873.245421198,2216.432810617455,34432.236678503985,2339.5807251424803,26270.620519594133,80336.98158851758,27182.044992247138,146818.78286559513,1805.991260340237,101733.85958930248,23794.48586694012,40343.57148378405,988.68939055551,88681.62548698041,115910.3391635867,18937.811376129364,90003.61587128407,66979.50233068338,10869.868924204804,149221.75726497459,6232.9399179651655,10872.163714618304,36210.189204355614,36715.69764140052,91120.6401900446,75084.54223878642,63588.55295922406,28678.47527909416,14053.920596370923,8858.551386168805,161096.20858271094,32850.97949486985,17328.893967317726,18997.921201900524,64547.33656950641,7381.010665492298,1217.958072358603,18391.977461576233,137034.39626826358,75451.29644201866,24985.666858696768,20783.331111539504,128324.69290919867,8737.50795315631,13088.141375878462,16889.659958103297,28631.223723012536,30179.764577855225,5431.396315033114,268.37864937226,38971.481306353984,24608.72642944568,30801.93335171795,44163.5889957792,10605.959135715599,97619.02766327863,152755.5730748046,9635.291803183074,5795.018138492027,32796.593598471314,11220.259783325588,27366.59270191441,4435.8653912192285,87708.88320673634,207081.14051550956,35382.92468510854,78454.5145101916,15035.728095628077,8190.881404081197
1961-01-01,14402.657145356625,161055.06538918166,52458.292976913915,23899.20377560891,139320.3520778529,9570.318637931607,4080.751989973026,17753.846796945167,914.3817657132024,4677.975490793061,130376.39731822383,2421.5555102733447,35760.86362559363,2449.314254769481,27287.647331517284,83368.59694360134,27650.330612381113,148451.1035758467,2160.2372575240634,105655.14688034912,19789.440022128743,41643.73524268137,1079.3567738061645,93252.09920082845,121476.19630441027,21146.552323993306,96553.70337962768,69295.16933397239,10940.638168621948,153823.05096021117,6648.306808818992,10655.368451423717,37912.436947532784,38389.71433472219,94166.35786648886,79845.85855228406,64472.91663934113,31607.885057648167,14731.78337005204,8686.251007817222,167750.9381556018,33306.54158082194,17918.543460571225,19388.94135744212,66148.25273312714,8258.429123276306,1271.801333210523,19267.045848976446,142492.22849825074,77666.59508657372,24018.22968261666,22030.660692490746,130934.87771623794,8970.23886336337,13423.735366898469,16396.232927175017,31035.575078338814,28826.84954937056,5728.948443858355,283.5243404739706,37315.749815396164,24642.316417439797,31779.663608635903,46084.51347082391,10764.352983760014,101491.89302773077,154394.90186986543,9930.774809987222,5987.957786720112,34339.83032085643,11336.544416375253,28766.663821567876,4412.051203893814,90992.89864250098,213872.76178425853,36832.751022527045,77944.22411614515,14894.636676837257,7873.966628379728
1962-01-01,14971.59947355953,163116.15222190288,55037.99013447723,25167.53257267538,142208.7426352822,10109.12807238643,4149.614834925323,18387.850891875998,932.1390343927005,4801.034583071625,132892.17619186657,2560.5773474194466,36382.436788545594,2470.3358071099365,28726.701172471945,85898.55372190976,28348.055757990853,156696.14124229486,2312.5895271454233,110176.55287393118,22511.518187259095,42830.959288441765,1124.9863231074928,99469.71417125817,128225.26347842884,23282.528972052012,103815.57926576398,72291.24526303138,11019.733389189512,156980.056698693,7045.6415520235805,10457.715321503998,40196.33849643615,39866.47901862894,97079.68249012831,85875.43674998144,65181.17401441049,34629.59884929494,15378.910717969855,8536.669010720618,176690.46469074106,34282.87897702611,18591.729739947576,19493.65245273439,68680.0339875254,7302.199089632966,1318.416006495635,20223.81125599615,147473.53182734703,79047.44624725205,23399.219404901756,23105.99867831878,133998.94973868452,8997.35186612349,13862.227416464879,16448.32425302664,33209.99332024868,28180.044824082,6032.369481656582,307.73516029186555,35670.17981481715,24858.442395563387,32698.320702809284,49336.029110482115,10931.907424309089,105569.83723155143,156795.8730390387,10245.312598791157,6333.69390372579,35933.73889696048,11722.032534638674,30612.590213499498,4512.0211583793825,93947.01005563824,218421.84247097446,38606.984860292316,77823.97365061818,14774.274078515364,7529.057083883334
1963-01-01,15252.371207851516,165588.71414287534,57682.082916834115,26241.09131423676,145933.67829012792,10508.169451482287,4259.231048852424,18752.1303612391,945.5014469444833,4923.353429518931,136008.31000011027,2758.9744184772276,37000.35103947828,2493.822128632786,31345.771432387024,87018.61405806597,28939.463365000458,160981.6114437761,2574.415918634065,113438.2000659998,22910.418731560243,43878.1654297996,1177.474802334297,103678.0055575426,134472.22958297728,24737.321871314452,110675.29669863835,76974.85951297908,11344.706473126867,163773.41759447032,7456.249726128678,10202.602021583043,42680.69239679871,41801.62468137166,99568.58895289173,93445.26697654236,65191.3795180058,38056.20515551426,15938.456467986829,8469.188271088344,186318.20397460894,35223.258494720656,19273.535685772033,20125.891645872023,71858.17622456492,7287.283446457349,1365.513865502907,21175.404803389545,152894.74004295445,81488.65385942826,23006.96596046307,23762.82697490496,137159.45589162523,9074.84822789577,14177.336253588186,16777.095019257,35884.845362650485,27952.8465001803,6471.314489819004,317.5038878066301,34334.66072821682,26164.45852584655,34144.92888152596,52874.17514619699,11164.15279317867,109716.87145974068,162097.83444268123,10702.102142785874,6813.004571022185,37023.800957836436,12180.18314926302,32227.89076493806,4585.209596199718,97634.04779180186,223626.2808242648,38874.77821078315,77624.35764134942,14498.793462436479,7200.809244792907
1964-01-01,15814.159102053087,168502.3327201113,60993.448280601464,27119.051643321895,150475.5504980453,10950.333567232212,4455.606465016661,19210.775664096447,959.5389800029002,5065.475829249066,137990.67062703718,2929.237664494203,39344.446004042555,2526.5914755177682,34387.25321321465,89836.27587360864,29065.738835873934,161952.8471159352,3002.1186254805352,118045.16086339642,23492.361021342065,44898.37282078527,1252.350804918117,108829.27589719894,141149.97978353666,25823.961704772493,118683.63918891562,82681.24540053346,11825.28213040369,164716.48205032898,8006.811713445951,9983.965697611655,46549.314174029125,44039.90421529869,104059.57794276015,98929.18547248804,65497.05901061089,41857.674783201444,16871.25020767264,8311.066142710662,193774.97349894416,36100.68959952889,20465.68769487618,20101.400791238488,75236.62832058237,7823.296510028197,1415.7592630041524,22088.139765652257,159849.68780716666,83721.64666253323,22518.416359708714,24750.38248287955,140568.4890621726,9055.761454849378,14477.454619707634,16990.81655180463,38673.24107290882,27863.59566725894,6810.200123912318,325.67540821439707,32873.736408485776,26902.35883109155,35636.08586594764,56736.93485167198,11340.284915960458,113702.97746781238,168080.12091826837,11416.232203303636,7247.744490296835,37591.81630020048,12707.528845584891,33838.94224270282,4813.959576366435,102366.26834235144,227495.03971705152,40963.957146203335,78989.11689137311,14115.451879929144,6922.497511176583
1965-01-01,16349.542487831675,170451.44408194078,64114.75608087148,28216.604888519323,155980.0312156784,11250.428501061102,4274.388158244208,19780.005794440698,992.007057840678,5387.874632926814,140682.90714155484,2998.0457873339637,41049.12083180898,2619.791651540532,37562.588128979805,90456.67363401674,29776.14158356464,166183.65944717903,3332.2218505856313,123224.23352395828,20172.45619271652,45758.29920840938,1340.7071591061392,114443.5786933351,148425.616213241,26738.812981470634,126706.72419775932,89244.53046100306,12252.14993043176,170300.5714031354,8521.359598043555,9723.08330430304,51019.31462839725,46912.52145898945,107971.07936151375,105645.58106153656,66093.34991259855,45369.548200657104,17811.706264822995,8175.0942329070895,200895.9904876195,37025.8339782855,21443.653792096608,20482.01997069718,79629.00977225046,7903.142737037421,1476.3802196381557,23233.585708333456,167991.43581117847,86825.01045350463,21830.390590861232,26267.355944101742,144525.3172600732,9340.349035585634,14839.746111137576,18499.352853383803,41980.801569829404,27003.69178922286,7174.724631790967,337.0506070532842,31633.424970258235,28019.538985722975,37501.05259356505,61013.391729304225,11403.395312799172,119103.1710057028,176501.48215245054,12457.202461738145,7720.127833504521,37413.097743015045,13194.25937566619,35390.11800784927,5091.011210394933,106821.46068611732,231735.7888809052,40931.1052760826,79957.3370277798,14320.716120074036,6653.548592175859
1966-01-01,16789.27293230994,171458.03831908785,68483.35470126434,29326.124776405297,162298.5792681382,11556.169926780494,4581.140802762733,20388.279316108532,1023.2439322889212,5785.569222580664,144779.0587132805,3098.593432262212,44379.07840822361,2731.653541936335,40183.852882590036,90386.89647657583,30365.70868713524,170742.44341889356,3638.421441716047,127639.41067161132,22194.277880070462,46880.658548092295,1350.3599399509055,120457.47104875461,155647.2365401789,28466.03657696672,134737.65577859897,96358.48799534657,12430.638501026671,179557.64834748328,9083.626818831719,9509.921751310889,56244.57808560093,49164.285517068776,111958.39273552565,112081.93329918402,66843.53473941331,49009.777500961296,18540.999303170876,8230.966367042434,206191.41595595164,38099.75532370759,22461.290456844992,20167.281171176295,83372.04377661365,8647.080320140425,1559.5477797259016,24769.146200948744,177120.80944998443,89439.07787900032,21219.2764920306,28132.96113476484,149371.1276709336,9657.665167966175,15416.285923854442,18387.643071025108,45326.91204046808,27928.855065334275,7575.935832040893,347.16702104108975,30438.175791276713,29323.043155643598,39076.868360200926,65680.6855335642,11563.039139674935,124202.71994236734,183742.42944680495,13514.446146460547,8442.758028847524,39159.981214151834,13587.897338185585,37971.70204498139,5388.417101014827,111101.96751740768,234739.247686853,42105.41850899572,80391.4607254872,14593.958080634133,6423.991527266668
1967-01-01,17232.651163269293,173856.33616847446,73130.94316974809,30621.14050128316,169674.06209873117,11739.20782464602,5107.91600216488,20763.502961667054,1048.3973078355716,6067.22737395601,148964.98154305227,3240.1727935791373,46199.21470002794,2703.619624322709,41281.12958745612,91500.94883276559,30977.706897262287,176645.87208333772,3853.282864527749,134387.3391766785,21417.334458530688,48727.49518686927,1436.505954365683,128184.70636297173,163804.23445534045,29193.287512117986,143370.2428185007,102982.26589103838,12803.150724116473,195515.54919978877,9597.993267734724,9307.829663909639,61640.04539602495,51679.82511695709,113822.61138213318,116397.11160236842,67895.2496071655,53751.58462927183,17511.630385350934,8371.755417357013,211728.62393932982,39183.40699695278,23752.741501070377,20513.310434732815,87359.41839691388,8493.789385541493,1626.3194898523586,26326.15780254931,188862.16475005788,90159.98940253726,20665.577820050177,30941.49353607821,155296.96406992347,10090.198798524625,15872.429154736388,18582.903952200162,48609.771416343945,28549.158793859166,8139.2201258283385,349.06720494391817,29420.507804358116,31340.992828327664,41218.523302633104,70140.85395614317,11774.511068737764,130783.23017484584,190361.31588785164,14510.41484094131,9182.45719770122,38258.17604544751,13957.156181214445,40853.9673167866,5763.283703738098,118374.9408144061,238523.38953053564,42080.955541070514,80928.97731774037,14958.967039253721,6230.281896733838
1968-01-01,17759.94124261063,177865.4373026619,77594.91680835177,32657.65377813129,176295.0154817348,11924.387729990305,5882.053700790585,21434.330533636006,1074.2690547435877,6319.579104867085,155989.7685094848,3358.640435360774,48625.353863419026,2671.8429332447563,42105.16545455467,93263.45838059658,31351.201897309627,182138.46645280262,4022.585578739388,140518.25491603895,21065.64766985835,50343.06743964944,1441.5904466873585,135418.05163315852,173693.9664162181,29890.462515755327,149949.04587328498,110536.2005406615,13453.286636348532,204861.67076557197,10002.282880945188,9161.257799551826,68973.01735142361,54561.13971294433,113787.78679816572,122498.35391934596,70171.31232514695,59761.42242417789,17616.744718976166,8615.873976943316,215609.5268275892,40285.47306058409,25608.608496945864,20492.706803327914,92969.91635458454,7606.925677958097,1712.8868615358947,27927.193688070165,199648.5381825697,91982.79352590464,20177.220899508007,32025.157811244117,160367.95795623015,10395.391223338771,15862.690113769731,19666.08932932024,52021.18275354555,29430.202368328013,8708.52591139049,357.567416805881,28485.2112594589,33791.34796411959,42856.842426559066,75050.54162920931,12103.691798156668,134451.2342072388,196402.8472721626,15774.630177943029,9976.752008668882,39770.287465035275,14348.622373443346,43953.58437008538,6076.691645270606,125432.1808613114,242990.75494080823,42403.274210944735,83005.7619407921,15384.054070803792,6068.591276167612
1969-01-01,18601.398234610864,182742.3063277315,81898.11597431866,34967.20948409527,180869.1902137377,12101.666071393864,6100.774852032415,22827.462672835078,1112.3707427938277,6497.02176728293,159247.91442534962,3522.620916933217,51222.09925288639,2653.725188966586,43149.710708936516,94543.84844489596,32059.7765300625,190656.409064386,4263.163375888927,146499.15083227042,21931.560095260553,51269.85017349379,1475.460297856982,139904.82222181035,181387.27975783465,30807.95941801972,156949.09277374647,120158.65689404066,13651.762517296274,208615.68936886668,10456.34526530056,9082.97573282416,75598.30811346884,58583.220983027895,116397.24153680044,130699.24263125184,72995.05218727521,67372.61322761828,19667.07313275214,8859.543823398973,218303.72289873674,41110.63087584809,27597.015582020435,20782.738681569313,96345.51213736404,8437.682633019453,1824.1592409066345,29526.091814534913,197979.9347519193,95057.44382876562,19449.184389135597,32142.396348217775,162607.63909479443,10724.572890570866,15909.816756862218,21117.537297817504,55383.02368836847,30881.090171229684,9296.037496815246,360.08025745626776,27648.545484924438,37691.1514396934,45073.66374827324,80796.10707875078,12607.947912772426,137570.75742867062,200243.87814592835,17154.221408158333,10939.403013126841,38734.47617993336,14776.037300577358,47111.18224621101,6277.769731622359,131244.76082749685,246159.75395424085,43515.90528282049,84981.72070259576,15659.75399210877,5896.540675247007
